Row Labels,Sum of PopMale_0_4,Sum of PopMale_5_9,Sum of PopMale_10_14,Sum of PopMale_15_19,Sum of PopMale_20_24,Sum of PopMale_25_29,Sum of PopMale_30_34,Sum of PopMale_35_39,Sum of PopMale_40_44,Sum of PopMale_45_49,Sum of PopMale_50_54,Sum of PopMale_55_59,Sum of PopMale_60_64,Sum of PopMale_65_69,Sum of PopMale_70_74,Sum of PopMale_75_79,Sum of PopMale_80_84,Sum of PopMale_85_89,Sum of PopMale_90_94,Sum of PopMale_95_99,Sum of PopMale_100Plus
2000,12796746.89,12629595.78,12973329.43,11667579.83,10538492.67,10246250.08,9629418.551,8569365.625,7420836.327,6636592.57,5100870.028,4006120.54,3548745.535,2789103.833,2031223.663,1218555.622,602068.756,249988.162,63563.515,10170.522,956.214
2001,12947225.05,12541406.2,12988785.47,11918389.29,10652046.78,10266209.97,9753523.053,8760163.865,7566393.485,6786152.382,5344417.311,4099734.788,3559347.128,2842047.491,2072234.95,1270133.541,633366.636,265332.823,74854.409,11816.579,1021.05
2002,13007010.86,12510221.51,12922263.34,12206343.24,10810543.08,10269310.46,9869380.399,8954605.044,7750336.081,6889409.984,5621660.564,4234075.825,3559756.027,2909898.89,2110163.477,1321957.99,662978.785,274659.468,83376.196,14574.144,1098.695
2003,13003064.72,12534717.58,12797823.64,12495074.46,11006177.52,10272980.75,9971204.879,9145486.581,7961969.583,6969423.974,5907148.446,4405532.758,3566548.327,2982784.744,2150865.034,1371904.088,690878.231,279248.478,88673.352,16724.952,1187.557
2004,13000098.86,12586500.93,12667525.81,12723959.69,11227854.31,10303078.54,10049288.26,9321779.704,8180162.707,7062599.106,6163043.41,4607450.475,3602447.726,3046016.835,2199545.014,1417271.167,717267.166,282059.52,88601.105,16813.786,1283.117
2005,13046062.08,12619997.87,12576909.95,12855821.31,11468761.52,10376676.49,10100830.23,9477020.678,8390740.403,7192298.471,6368191.044,4833440.084,3680482.551,3093630.89,2257850.048,1458527.13,742693.089,283707.916,82438.069,13667.708,1383.505
2006,13132855.64,12660078.01,12514086.83,12874786.06,11740341.4,10494828.24,10131757.75,9610903.294,8593632.654,7351541.154,6519477.319,5060736.08,3774910.876,3111845.231,2309521.654,1502746.826,786531.572,309259.066,92632.088,16113.787,1488.441
2007,13226717.38,12709919.14,12493213.42,12796565,12034974.93,10653810.01,10137651.62,9729886.467,8791185.483,7544475.933,6624941.658,5319724.51,3899869.416,3119998.234,2370362.845,1539753.011,827539.406,329982.108,99009,20055.511,1599.897
2008,13331168.23,12765394.9,12505589.78,12663200.88,12312124.05,10850125.04,10137730.52,9831170.557,8977624.713,7760200.509,6707585.668,5589176.22,4052657.693,3133605.635,2434804.225,1573341.446,864592.063,345236.177,102914.925,23007.257,1721.031
2009,13432808.51,12825058.41,12533550.19,12538404.03,12519638.19,11075046.61,10164083.43,9910679.184,9149159.503,7980938.849,6806388.737,5836674.351,4232731.56,3173667.062,2492958.007,1609370.343,895930.972,357638.288,102945.108,23073.066,1854.75
2010,13526946.4,12887510.44,12564284.07,12459896.74,12631832.26,11316751.22,10237186.94,9966061.135,9303798.373,8194221.989,6944758.932,6042323.678,4439952.885,3250756.857,2540364.166,1652227.449,921288.785,367665.245,98903.018,18945.052,2004.318
2011,13641467.52,12968842.89,12592789.75,12412403.84,12673788.01,11579714.91,10352688.09,9991368.02,9435981.646,8388428.617,7098215.495,6185361.16,4655762.627,3335823.204,2560883.249,1704960.164,958251.826,402322.631,114152.922,21236.743,2172.502
2012,13722559.01,13064744.06,12631606.85,12402216.47,12624657.82,11868966.1,10512275.92,9991589.228,9556209.349,8579936.153,7286523.603,6286292.426,4905290.996,3447421.1,2573242.493,1762505.027,987749.261,431429.897,125652.117,25074.754,2359.402
